label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
ring,361,221,127,43,frame_0.jpg,852,480
ring,471,160,67,18,frame_0.jpg,852,480
ring,432,130,39,9,frame_0.jpg,852,480
ring,361,221,128,44,frame_1.jpg,852,480
ring,472,159,67,19,frame_1.jpg,852,480
ring,433,130,38,9,frame_1.jpg,852,480
ring,368,218,129,43,frame_10.jpg,852,480
ring,360,146,87,33,frame_100.jpg,852,480
ring,411,89,57,17,frame_100.jpg,852,480
ring,362,60,38,12,frame_100.jpg,852,480
ring,359,143,87,36,frame_101.jpg,852,480
ring,409,89,55,17,frame_101.jpg,852,480
ring,362,59,36,13,frame_101.jpg,852,480
ring,356,145,87,29,frame_102.jpg,852,480
ring,408,86,55,20,frame_102.jpg,852,480
ring,359,59,35,12,frame_102.jpg,852,480
ring,353,142,88,31,frame_103.jpg,852,480
ring,404,85,54,19,frame_103.jpg,852,480
ring,356,56,34,14,frame_103.jpg,852,480
ring,351,142,88,30,frame_104.jpg,852,480
ring,402,85,55,17,frame_104.jpg,852,480
ring,352,57,36,11,frame_104.jpg,852,480
ring,349,142,88,30,frame_105.jpg,852,480
ring,400,84,55,19,frame_105.jpg,852,480
ring,351,57,36,13,frame_105.jpg,852,480
ring,348,141,87,32,frame_106.jpg,852,480
ring,399,84,54,19,frame_106.jpg,852,480
ring,348,56,37,13,frame_106.jpg,852,480
ring,348,142,86,29,frame_107.jpg,852,480
ring,395,84,55,18,frame_107.jpg,852,480
ring,346,55,36,13,frame_107.jpg,852,480
ring,346,141,85,29,frame_108.jpg,852,480
ring,396,84,53,17,frame_108.jpg,852,480
ring,346,55,36,14,frame_108.jpg,852,480
ring,345,139,87,31,frame_109.jpg,852,480
ring,394,83,54,18,frame_109.jpg,852,480
ring,344,54,37,14,frame_109.jpg,852,480
ring,373,219,127,42,frame_11.jpg,852,480
ring,481,160,68,16,frame_11.jpg,852,480
ring,443,129,39,9,frame_11.jpg,852,480
ring,344,139,87,32,frame_110.jpg,852,480
ring,391,82,55,18,frame_110.jpg,852,480
ring,344,52,35,15,frame_110.jpg,852,480
ring,345,137,83,32,frame_111.jpg,852,480
ring,391,80,55,20,frame_111.jpg,852,480
ring,340,52,39,16,frame_111.jpg,852,480
ring,344,137,84,30,frame_112.jpg,852,480
ring,391,80,55,17,frame_112.jpg,852,480
ring,342,52,35,14,frame_112.jpg,852,480
ring,345,136,84,31,frame_113.jpg,852,480
ring,392,81,53,18,frame_113.jpg,852,480
ring,339,51,38,15,frame_113.jpg,852,480
ring,343,135,87,30,frame_114.jpg,852,480
ring,391,80,53,18,frame_114.jpg,852,480
ring,340,52,35,12,frame_114.jpg,852,480
